symbol,name,Standard_Sector,Sector_Chinese
HHS,"Harte Hanks, Inc. - Common Stock",Industrials,工業
HIFS,Hingham Institution for Savings - Common Stock,Financials,金融
HIHO,Highway Holdings Limited - Common Stock,Industrials,工業
HIT,"Health In Tech, Inc. - Class A Common Stock",Information Technology,資訊科技
HLIT,Harmonic Inc. - Common Stock,Information Technology,資訊科技
HLMN,Hillman Solutions Corp. - Common Stock,Industrials,工業
HLNE,Hamilton Lane Incorporated - Class A Common Stock,Financials,金融
HLVX,"HilleVax, Inc. - Common Stock",Health Care,醫療保健
HMR,Heidmar Maritime Holdings Corp. - Common Stock,Industrials,工業
HMST,"HomeStreet, Inc. - Common Stock",Financials,金融
HNNA,"Hennessy Advisors, Inc. - Common Stock",Financials,金融
HNRG,Hallador Energy Company - Common Stock,Energy,能源
HNST,"The Honest Company, Inc. - Common Stock",Consumer Staples,必需消費
HNVR,"Hanover Bancorp, Inc. - Common Stock",Financials,金融
HOFT,Hooker Furnishings Corporation - Common Stock,Consumer Discretionary,非必需消費
HOFV,Hall of Fame Resort & Entertainment Company - Common Stock,Communication Services,通訊服務
HOLX,"Hologic, Inc. - Common Stock",Health Care,醫療保健
HON,Honeywell International Inc. - Common Stock,Industrials,工業
HONE,"HarborOne Bancorp, Inc. - Common Stock",Financials,金融
HOOD,"Robinhood Markets, Inc. - Class A Common Stock",Financials,金融
HOOK,HOOKIPA Pharma Inc. - Common Stock,Health Care,醫療保健
HOPE,"Hope Bancorp, Inc. - Common Stock",Financials,金融
HOTH,"Hoth Therapeutics, Inc. - Common Stock",Health Care,醫療保健
HOUR,"Hour Loop, Inc. - common stock",Consumer Discretionary,非必需消費
HOWL,"Werewolf Therapeutics, Inc. - Common Stock",Health Care,醫療保健
HPK,"HighPeak Energy, Inc. - Common Stock",Energy,能源
HQI,"HireQuest, Inc. - Common Stock",Industrials,工業
HQY,"HealthEquity, Inc. - Common Stock",Health Care,醫療保健
HRMY,"Harmony Biosciences Holdings, Inc. - Common Stock",Health Care,醫療保健
HROW,"Harrow, Inc. - Common Stock",Health Care,醫療保健
HRTX,"Heron Therapeutics, Inc.   - Common Stock",Health Care,醫療保健
HRZN,Horizon Technology Finance Corporation - Common Stock,Financials,金融
HSCS,HeartSciences Inc. - Common Stock,Health Care,醫療保健
HSDT,"Helius Medical Technologies, Inc. - Class A Common Stock",Health Care,醫療保健
HSIC,"Henry Schein, Inc. - Common Stock",Health Care,醫療保健
HSII,"Heidrick & Struggles International, Inc. - Common Stock",Industrials,工業
HSON,"Hudson Global, Inc. - Common Stock",Industrials,工業
HST,"Host Hotels & Resorts, Inc. - Common Stock",Real Estate,房地產
HSTM,"HealthStream, Inc. - Common Stock",Health Care,醫療保健
HTBK,Heritage Commerce Corp - Common Stock,Financials,金融
HTCR,"Heartcore Enterprises, Inc. - Common Stock",Information Technology,資訊科技
HTLD,"Heartland Express, Inc. - Common Stock",Industrials,工業
HTZ,"Hertz Global Holdings, Inc - Common Stock",Industrials,工業
HUBG,"Hub Group, Inc. - Class A Common Stock",Industrials,工業
HUMA,"Humacyte, Inc. - Common Stock",Health Care,醫療保健
HURA,"TuHURA Biosciences, Inc. - Common Stock",Health Care,醫療保健
HURC,"Hurco Companies, Inc. - Common Stock",Industrials,工業
HURN,Huron Consulting Group Inc. - Common Stock,Industrials,工業
HUT,Hut 8 Corp. - Common Stock,Financials,金融
HWBK,"Hawthorn Bancshares, Inc. - Common Stock",Financials,金融
HWC,Hancock Whitney Corporation - Common Stock,Financials,金融
HWH,HWH International Inc. - Common Stock,Consumer Discretionary,非必需消費
HWKN,"Hawkins, Inc. - Common Stock",Materials,原物料
HYFM,"Hydrofarm Holdings Group, Inc. - Common Stock",Industrials,工業
HYMC,Hycroft Mining Holding Corporation - Class A Common Stock,Materials,原物料
HYPR,"Hyperfine, Inc.  - Class A Common Stock",Health Care,醫療保健
IAC,IAC Inc. - Common Stock,Communication Services,通訊服務
IART,Integra LifeSciences Holdings Corporation - Common Stock,Health Care,醫療保健
IAS,Integral Ad Science Holding Corp. - Common Stock,Communication Services,通訊服務
IBAC,IB Acquisition Corp. - Common Stock,Financials,金融
IBCP,Independent Bank Corporation - Common Stock,Financials,金融
IBIO,"iBio, Inc. - Common Stock",Health Care,醫療保健
IBKR,"Interactive Brokers Group, Inc. - Class A Common Stock",Financials,金融
IBOC,International Bancshares Corporation - Common Stock,Financials,金融
IBRX,"ImmunityBio, Inc. - Common Stock",Health Care,醫療保健
ICAD,icad inc. - Common Stock,Health Care,醫療保健
ICCC,ImmuCell Corporation - Common Stock,Health Care,醫療保健
ICCT,iCoreConnect Inc. - Common stock,Health Care,醫療保健
ICFI,"ICF International, Inc. - Common Stock",Industrials,工業
ICMB,"Investcorp Credit Management BDC, Inc. - Common Stock",Financials,金融
ICON,Icon Energy Corp. - Common stock,Industrials,工業
ICU,SeaStar Medical Holding Corporation - Common Stock,Health Care,醫療保健
ICUI,"ICU Medical, Inc. - Common Stock",Health Care,醫療保健
IDAI,T Stamp Inc. - Class A Common Stock,Information Technology,資訊科技
IDCC,"InterDigital, Inc. - Common Stock",Information Technology,資訊科技
IDN,"Intellicheck, Inc. - Common Stock",Information Technology,資訊科技
IDXX,"IDEXX Laboratories, Inc. - Common Stock",Health Care,醫療保健
IDYA,"IDEAYA Biosciences, Inc. - Common Stock",Health Care,醫療保健
IESC,"IES Holdings, Inc. - Common Stock",Industrials,工業
IFRX,InflaRx N.V. - Common Stock,Health Care,醫療保健
IGMS,"IGM Biosciences, Inc. - Common Stock",Health Care,醫療保健
IHRT,"iHeartMedia, Inc. - Class A Common Stock",Communication Services,通訊服務
III,"Information Services Group, Inc. - Common Stock",Information Technology,資訊科技
IIIV,"i3 Verticals, Inc. - Common Stock",Information Technology,資訊科技
IKNA,"Ikena Oncology, Inc. - Common Stock",Health Care,醫療保健
IKT,"Inhibikase Therapeutics, Inc. - Common Stock",Health Care,醫療保健
ILLR,Triller Group Inc. - Common Stock,Information Technology,資訊科技
ILMN,"Illumina, Inc. - Common Stock",Health Care,醫療保健
IMG,CIMG Inc. - Common Stock,Consumer Staples,必需消費
IMKTA,"Ingles Markets, Incorporated - Class A Common Stock",Consumer Staples,必需消費
IMMR,Immersion Corporation - Common Stock,Information Technology,資訊科技
IMMX,"Immix Biopharma, Inc. - Common Stock",Health Care,醫療保健
IMNM,"Immunome, Inc. - Common Stock",Health Care,醫療保健
IMNN,"Imunon, Inc. - Common Stock",Health Care,醫療保健
IMRX,Immuneering Corporation - Class A Common Stock,Health Care,醫療保健
IMUX,"Immunic, Inc.  - Common Stock",Health Care,醫療保健
IMVT,"Immunovant, Inc.  - Common Stock",Health Care,醫療保健
IMXI,"International Money Express, Inc. - Common Stock",Information Technology,資訊科技
INAB,"IN8bio, Inc. - Common Stock",Health Care,醫療保健
INBK,First Internet Bancorp - Common Stock,Financials,金融
INBS,Intelligent Bio Solutions Inc.  - Common Stock,Health Care,醫療保健
INBX,"Inhibrx Biosciences, Inc. - Common Stock",Health Care,醫療保健
INCY,Incyte Corporation - Common Stock,Health Care,醫療保健
INDB,Independent Bank Corp. - Common Stock,Financials,金融
INDI,"indie Semiconductor, Inc. - Class A Common Stock",Information Technology,資訊科技
INDP,"Indaptus Therapeutics, Inc. - Common Stock",Health Care,醫療保健
INGN,"Inogen, Inc - Common Stock",Health Care,醫療保健
INHD,Inno Holdings Inc. - Common Stock,Materials,原物料
INKT,"MiNK Therapeutics, Inc. - Common Stock",Health Care,醫療保健
INMB,INmune Bio Inc. - Common stock,Health Care,醫療保健
INNV,InnovAge Holding Corp. - Common Stock,Health Care,醫療保健
INO,"Inovio Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
INOD,Innodata Inc. - Common Stock,Information Technology,資訊科技
INSE,"Inspired Entertainment, Inc. - Common Stock",Consumer Discretionary,非必需消費
INSG,Inseego Corp. - Common Stock,Information Technology,資訊科技
INSM,Insmed Incorporated - Common Stock,Health Care,醫療保健
INTA,"Intapp, Inc. - Common Stock",Information Technology,資訊科技
INTC,Intel Corporation - Common Stock,Information Technology,資訊科技
INTG,The Intergroup Corporation - Common Stock,Consumer Discretionary,非必需消費
INTS,"Intensity Therapeutics, Inc. - Common Stock",Health Care,醫療保健
INTU,Intuit Inc. - Common Stock,Information Technology,資訊科技
INTZ,Intrusion Inc. - Common Stock,Information Technology,資訊科技
INV,"Innventure, Inc. - Common Stock",Financials,金融
INVA,"Innoviva, Inc. - Common Stock",Health Care,醫療保健
INVE,"Identiv, Inc. - Common Stock",Industrials,工業
INZY,"Inozyme Pharma, Inc. - Common Stock",Health Care,醫療保健
IOBT,"IO Biotech, Inc. - Common Stock",Health Care,醫療保健
IONS,"Ionis Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
IOSP,Innospec Inc. - Common Stock,Materials,原物料
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",Health Care,醫療保健
IPA,ImmunoPrecise Antibodies Ltd. - Common Stock,Health Care,醫療保健
IPAR,"Interparfums, Inc. - Common Stock",Consumer Staples,必需消費
IPDN,"Professional Diversity Network, Inc. - Common Stock",Industrials,工業
IPGP,IPG Photonics Corporation - Common Stock,Information Technology,資訊科技
IPM,Intelligent Protection Management Corp.  - Common Stock,Information Technology,資訊科技
IPSC,"Century Therapeutics, Inc. - Common Stock",Health Care,醫療保健
IPW,iPower Inc. - Common Stock,Consumer Discretionary,非必需消費
IPWR,Ideal Power Inc. - Common Stock,Industrials,工業
IRBT,iRobot Corporation - Common Stock,Consumer Discretionary,非必需消費
IRD,"Opus Genetics, Inc. - Common Stock",Health Care,醫療保健
IRDM,Iridium Communications Inc - Common Stock,Communication Services,通訊服務
IRIX,IRIDEX Corporation - Common Stock,Health Care,醫療保健
IRMD,iRadimed Corporation - Common Stock,Health Care,醫療保健
IROH,Iron Horse Acquisitions Corp. - Common Stock,Financials,金融
IROHR,Iron Horse Acquisitions Corp. - one right to one-fifth (1/5) of one share of common stock,Unclassified,未分類
IRON,"Disc Medicine, Inc. - Common Stock",Health Care,醫療保健
IROQ,"IF Bancorp, Inc. - Common Stock",Financials,金融
IRTC,"iRhythm Technologies, Inc. - Common Stock",Health Care,醫療保健
IRWD,"Ironwood Pharmaceuticals, Inc. - Class A Common Stock",Health Care,醫療保健
ISPC,iSpecimen Inc. - Common Stock,Health Care,醫療保健
ISPO,Inspirato Incorporated - Class A Common Stock,Consumer Discretionary,非必需消費
ISPR,Ispire Technology Inc. - Common Stock,Consumer Staples,必需消費
ISRG,"Intuitive Surgical, Inc. - Common Stock",Health Care,醫療保健
ISSC,"Innovative Solutions and Support, Inc. - Common Stock",Industrials,工業
ISTR,Investar Holding Corporation - Common Stock,Financials,金融
ITIC,Investors Title Company - Common Stock,Financials,金融
ITOS,"iTeos Therapeutics, Inc. - Common Stock",Health Care,醫療保健
ITRI,"Itron, Inc. - Common Stock",Information Technology,資訊科技
IVDA,"Iveda Solutions, Inc. - Common Stock",Industrials,工業
IVF,"INVO Fertility, Inc. - Common Stock",Health Care,醫療保健
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",Consumer Discretionary,非必需消費
IVVD,"Invivyd, Inc. - Common Stock",Health Care,醫療保健
IXHL,Incannex Healthcare Inc. - Common Stock,Health Care,醫療保健
IZEA,"IZEA Worldwide, Inc. - Common Stock",Communication Services,通訊服務
JACK,Jack In The Box Inc. - Common Stock,Consumer Discretionary,非必需消費
JAGX,"Jaguar Health, Inc. - Common Stock",Health Care,醫療保健
JAKK,"JAKKS Pacific, Inc. - Common Stock",Consumer Discretionary,非必需消費
JAMF,Jamf Holding Corp. - Common Stock,Information Technology,資訊科技
JANX,"Janux Therapeutics, Inc. - Common Stock",Health Care,醫療保健
JBHT,"J.B. Hunt Transport Services, Inc. - Common Stock",Industrials,工業
JBIO,"Jade Biosciences, Inc. - Common Stock",Health Care,醫療保健
JBLU,JetBlue Airways Corporation - Common Stock,Industrials,工業
JBSS,"John B. Sanfilippo & Son, Inc. - Common Stock",Consumer Staples,必需消費
JDZG,JIADE LIMITED - Common stock,Information Technology,資訊科技
JFB,JFB Construction Holdings - Class A Common Stock,Real Estate,房地產
JJSF,J & J Snack Foods Corp. - Common Stock,Consumer Staples,必需消費
JKHY,"Jack Henry & Associates, Inc. - Common Stock",Information Technology,資訊科技
JMSB,"John Marshall Bancorp, Inc. - Common Stock",Financials,金融
JNVR,Janover Inc. - Common Stock,,
JOUT,Johnson Outdoors Inc. - Class A Common Stock,Consumer Discretionary,非必需消費
JRSH,"Jerash Holdings (US), Inc. - Common Stock",Consumer Discretionary,非必需消費
JSPR,"Jasper Therapeutics, Inc. - Class A Common Stock",Health Care,醫療保健
JTAI,Jet.AI Inc. - Common Stock,Information Technology,資訊科技
JUNS,"Jupiter Neurosciences, Inc. - Common Stock",Health Care,醫療保健
JVA,"Coffee Holding Co., Inc. - Common Stock",Consumer Staples,必需消費
JXG,JX Luxventure Group Inc. - Common Stock,Consumer Discretionary,非必需消費
JYNT,The Joint Corp. - Common Stock,Health Care,醫療保健
KALA,"KALA BIO, Inc. - Common Stock",Health Care,醫療保健
KALU,Kaiser Aluminum Corporation - Common Stock,Materials,原物料
KALV,"KalVista Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
KAVL,"Kaival Brands Innovations Group, Inc. - Common Stock",Consumer Staples,必需消費
KDLY,"Kindly MD, Inc. - Common Stock",Health Care,醫療保健
KDP,Keurig Dr Pepper Inc. - Common Stock,Consumer Staples,必需消費
KE,"Kimball Electronics, Inc. - Common Stock",Industrials,工業
KELYA,"Kelly Services, Inc. - Class A Common Stock",Industrials,工業
KELYB,"Kelly Services, Inc. - Class B Common Stock",Industrials,工業
KEQU,Kewaunee Scientific Corporation - Common Stock,Consumer Discretionary,非必需消費
KFFB,Kentucky First Federal Bancorp - Common Stock,Financials,金融
KGEI,Kolibri Global Energy Inc. - Common stock,Energy,能源
KHC,The Kraft Heinz Company - Common Stock,Consumer Staples,必需消費
KIDS,OrthoPediatrics Corp. - Common Stock,Health Care,醫療保健
KIDZ,"Classover Holdings, Inc. - Class B Common Stock",Consumer Staples,必需消費
KINS,"Kingstone Companies, Inc - Common Stock",Financials,金融
KIRK,"Kirkland's, Inc. - Common Stock",Consumer Discretionary,非必需消費
KITT,"Nauticus Robotics, Inc. - Common stock",Industrials,工業
KLAC,KLA Corporation  - Common Stock,Information Technology,資訊科技
KLIC,"Kulicke and Soffa Industries, Inc. - Common Stock",Information Technology,資訊科技
KLRS,"Kalaris Therapeutics, Inc.  - Common Stock",Health Care,醫療保健
KLTO,"Klotho Neurosciences, Inc. - Common Stock",Health Care,醫療保健
KLTR,"Kaltura, Inc. - Common Stock",Information Technology,資訊科技
KLXE,"KLX Energy Services Holdings, Inc.  - Common Stock",Energy,能源
KMTS,"Kestra Medical Technologies, Ltd. - Common Stock",Health Care,醫療保健
KOD,Kodiak Sciences Inc - Common Stock,Health Care,醫療保健
KOPN,Kopin Corporation - Common Stock,Information Technology,資訊科技
KOSS,Koss Corporation - Common Stock,Information Technology,資訊科技
KPLT,"Katapult Holdings, Inc. - Common Stock",Information Technology,資訊科技
KPRX,"Kiora Pharmaceuticals, Inc.  - Common Stock",Health Care,醫療保健
KPTI,Karyopharm Therapeutics Inc. - Common Stock,Health Care,醫療保健
KRMD,"KORU Medical Systems, Inc. - Common Stock",Health Care,醫療保健
KRNY,Kearny Financial - Common Stock,Financials,金融
KRON,"Kronos Bio, Inc. - Common Stock",Health Care,醫療保健
KROS,"Keros Therapeutics, Inc. - common stock",Health Care,醫療保健
KRRO,"Korro Bio, Inc. - Common Stock",Health Care,醫療保健
KRT,Karat Packaging Inc. - Common Stock,Consumer Discretionary,非必需消費
KRUS,"Kura Sushi USA, Inc. - Class A Common Stock",Consumer Discretionary,非必需消費
KRYS,"Krystal Biotech, Inc. - Common Stock",Health Care,醫療保健
KSCP,"Knightscope, Inc. - Class A Common Stock",Industrials,工業
KTCC,Key Tronic Corporation - Common Stock,Information Technology,資訊科技
KTOS,"Kratos Defense & Security Solutions, Inc. - Common Stock",Industrials,工業
KTTA,Pasithea Therapeutics Corp. - Common Stock,Health Care,醫療保健
KURA,"Kura Oncology, Inc. - Common Stock",Health Care,醫療保健
KVHI,"KVH Industries, Inc. - Common Stock",Communication Services,通訊服務
KWE,"KWESST Micro Systems Inc. - common stock, no R/S concurrent with offering",Industrials,工業
KYMR,"Kymera Therapeutics, Inc. - Common Stock",Health Care,醫療保健
KYTX,"Kyverna Therapeutics, Inc. - Common Stock",Health Care,醫療保健
KZR,"Kezar Life Sciences, Inc. - Common Stock",Health Care,醫療保健
LAB,Standard BioTools Inc. - Common Stock,Health Care,醫療保健
LAKE,"Lakeland Industries, Inc. - Common Stock",Consumer Discretionary,非必需消費
LAMR,Lamar Advertising Company - Class A Common Stock,Real Estate,房地產
LANC,Lancaster Colony Corporation - Common Stock,Consumer Staples,必需消費
LAND,Gladstone Land Corporation - Common Stock,Real Estate,房地產
LARK,Landmark Bancorp Inc. - Common Stock,Financials,金融
LASE,Laser Photonics Corporation - Common Stock,Industrials,工業
LASR,"nLIGHT, Inc. - Common Stock",Information Technology,資訊科技
LAUR,"Laureate Education, Inc. - Common Stock",Consumer Staples,必需消費
LAZR,"Luminar Technologies, Inc.  - Class A Common Stock",Consumer Discretionary,非必需消費
LBRDA,Liberty Broadband Corporation - Class A Common Stock,Communication Services,通訊服務
LBRDK,Liberty Broadband Corporation - Class C Common Stock,Communication Services,通訊服務
LCID,"Lucid Group, Inc. - Common Stock",Consumer Discretionary,非必需消費
LCNB,LCNB Corporation - Common Stock,Financials,金融
LCUT,"Lifetime Brands, Inc. - Common Stock",Consumer Discretionary,非必需消費
LDWY,"Lendway, Inc. - Common Stock",Communication Services,通訊服務
LE,"Lands' End, Inc. - Common Stock",Consumer Discretionary,非必需消費
LEDS,SemiLEDS Corporation - Common Stock,Information Technology,資訊科技
LEE,"Lee Enterprises, Incorporated - Common Stock",Communication Services,通訊服務
LEGH,Legacy Housing Corporation - Common Stock,Consumer Discretionary,非必需消費
LENZ,"LENZ Therapeutics, Inc. - Common Stock",Health Care,醫療保健
LESL,"Leslie's, Inc. - Common Stock",Consumer Discretionary,非必需消費
LEXX,Lexaria Bioscience Corp. - Common Stock,Health Care,醫療保健
LFCR,"Lifecore Biomedical, Inc. - Common Stock",Health Care,醫療保健
LFMD,"LifeMD, Inc. - Common Stock",Health Care,醫療保健
LFST,"LifeStance Health Group, Inc. - Common Stock",Health Care,醫療保健
LFUS,"Littelfuse, Inc. - Common Stock",Information Technology,資訊科技
LFVN,Lifevantage Corporation - Common Stock,Consumer Staples,必需消費
LGIH,"LGI Homes, Inc. - Common Stock",Consumer Discretionary,非必需消費
LGMK,"LogicMark, Inc. - Common Stock",Health Care,醫療保健
LGND,Ligand Pharmaceuticals Incorporated - Common Stock,Health Care,醫療保健
LGVN,Longeveron Inc. - Class A Common stock,Health Care,醫療保健
LIDR,"AEye, Inc. - Class A Common Stock",Information Technology,資訊科技
LIEN,"Chicago Atlantic BDC, Inc. - Common Stock",Financials,金融
LIF,"Life360, Inc. - Common Stock",Information Technology,資訊科技
LILA,Liberty Latin America Ltd. - Class A Common Stock,Communication Services,通訊服務
LILAK,Liberty Latin America Ltd. - Class C Common Stock,Communication Services,通訊服務
LINC,Lincoln Educational Services Corporation - Common Stock,Consumer Staples,必需消費
LIND,Lindblad Expeditions Holdings Inc.  - Common Stock,Consumer Discretionary,非必需消費
LINE,"Lineage, Inc. - Common Stock",Real Estate,房地產
LINK,"Interlink Electronics, Inc. - Common Stock",Information Technology,資訊科技
LIPO,Lipella Pharmaceuticals Inc. - Common Stock,Health Care,醫療保健
LIQT,"LiqTech International, Inc. - Common Stock",Industrials,工業
LITE,Lumentum Holdings Inc. - Common Stock,Information Technology,資訊科技
LIVE,Live Ventures Incorporated - Common Stock,Consumer Discretionary,非必需消費
LIXT,"Lixte Biotechnology Holdings, Inc. - Common Stock",Health Care,醫療保健
LKFN,Lakeland Financial Corporation - Common Stock,Financials,金融
LKQ,LKQ Corporation - Common Stock,Consumer Discretionary,非必需消費
LLYVA,Liberty Media Corporation - Series A Liberty Live Common Stock,Communication Services,通訊服務
LLYVK,Liberty Media Corporation - Series C Liberty Live Common Stock,Communication Services,通訊服務
LMAT,"LeMaitre Vascular, Inc. - Common Stock",Health Care,醫療保健
LMB,"Limbach Holdings, Inc. - Common Stock",Industrials,工業
LMFA,"LM Funding America, Inc. - Common Stock",Financials,金融
LMNR,Limoneira Co - Common Stock,Consumer Staples,必需消費
LNKB,"LINKBANCORP, Inc. - Common Stock",Financials,金融
LNSR,"LENSAR, Inc. - Common Stock",Health Care,醫療保健
LNT,Alliant Energy Corporation - Common Stock,Utilities,公用事業
LNTH,"Lantheus Holdings, Inc. - Common Stock",Health Care,醫療保健
LNW,"Light & Wonder, Inc.  - Common Stock",Consumer Discretionary,非必需消費
LNZA,"LanzaTech Global, Inc. - Common Stock",Industrials,工業
LOAN,"Manhattan Bridge Capital, Inc - Common Stock",Real Estate,房地產
LOCO,"El Pollo Loco Holdings, Inc. - Common Stock",Consumer Discretionary,非必需消費
LOGC,ContextLogic Inc. - Class A Common Stock,Consumer Discretionary,非必需消費
LOOP,"Loop Industries, Inc. - Common Stock",Materials,原物料
LOPE,"Grand Canyon Education, Inc. - Common Stock",Consumer Staples,必需消費
LOVE,The Lovesac Company - Common Stock,Consumer Discretionary,非必需消費
LPCN,Lipocine Inc. - Common Stock,Health Care,醫療保健
LPLA,LPL Financial Holdings Inc. - Common Stock,Financials,金融
LPRO,Open Lending Corporation - Common Stock,Financials,金融
LPSN,"LivePerson, Inc. - Common Stock",Information Technology,資訊科技
LPTH,"LightPath Technologies, Inc. - Class A Common Stock",Information Technology,資訊科技
LPTX,"Leap Therapeutics, Inc. - Common Stock",Health Care,醫療保健
LQDA,Liquidia Corporation - Common Stock,Health Care,醫療保健
LQDT,"Liquidity Services, Inc. - Common Stock",Consumer Discretionary,非必需消費
LRCX,Lam Research Corporation - Common Stock,Information Technology,資訊科技
LRFC,Logan Ridge Finance Corporation - Common Stock,Financials,金融
LRHC,La Rosa Holdings Corp. - Common Stock,Real Estate,房地產
LRMR,"Larimar Therapeutics, Inc. - Common Stock",Health Care,醫療保健
LSAK,"Lesaka Technologies, Inc. - Common Stock",Information Technology,資訊科技
LSBK,"Lake Shore Bancorp, Inc. - Common Stock",Financials,金融
LSCC,Lattice Semiconductor Corporation - Common Stock,Information Technology,資訊科技
LSEA,Landsea Homes Corporation - Common Stock,Real Estate,房地產
LSH,Lakeside Holding Limited - Common Stock,Industrials,工業
LSTA,"Lisata Therapeutics, Inc. - Common Stock",Health Care,醫療保健
LSTR,"Landstar System, Inc. - Common Stock",Industrials,工業
LTBR,Lightbridge Corporation - Common Stock,Industrials,工業
LTRN,Lantern Pharma Inc. - Common Stock,Health Care,醫療保健
LTRX,"Lantronix, Inc. - Common Stock",Information Technology,資訊科技
LTRY,"Lottery.com, Inc. - Common Stock",Consumer Discretionary,非必需消費
LUCD,Lucid Diagnostics Inc. - Common Stock,Health Care,醫療保健
LUCY,"Innovative Eyewear, Inc. - Common Stock",Health Care,醫療保健
LULU,lululemon athletica inc. - Common Stock,Consumer Discretionary,非必需消費
LUNG,Pulmonx Corporation - Common Stock,Health Care,醫療保健
LUNR,"Intuitive Machines, Inc. - Class A Common Stock",Industrials,工業
LVLU,"Lulu's Fashion Lounge Holdings, Inc. - Common Stock",Consumer Discretionary,非必需消費
LVO,"LiveOne, Inc. - Common Stock",Communication Services,通訊服務
LWAY,"Lifeway Foods, Inc. - Common Stock",Consumer Staples,必需消費
LWLG,"Lightwave Logic, Inc. - Common Stock",Materials,原物料
LXEO,"Lexeo Therapeutics, Inc. - Common Stock",Health Care,醫療保健
LXRX,"Lexicon Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
LYEL,"Lyell Immunopharma, Inc. - Common Stock",Health Care,醫療保健
LYFT,"Lyft, Inc. - Class A Common Stock",Information Technology,資訊科技
LYRA,"Lyra Therapeutics, Inc. - Common Stock",Health Care,醫療保健
LYTS,LSI Industries Inc. - Common Stock,Information Technology,資訊科技
LZ,"LegalZoom.com, Inc. - Common Stock",Industrials,工業
MAMA,"Mama's Creations, Inc. - Common Stock",Consumer Staples,必需消費
MAMO,Massimo Group - Common Stock,Consumer Discretionary,非必需消費
MANH,"Manhattan Associates, Inc. - Common Stock",Information Technology,資訊科技
MAPS,"WM Technology, Inc. - Class A Common Stock",Information Technology,資訊科技
MAR,Marriott International - Class A Common Stock,Consumer Discretionary,非必需消費
MARA,"MARA Holdings, Inc. - Common Stock",Financials,金融
MASI,Masimo Corporation - Common Stock,Health Care,醫療保健
MASS,908 Devices Inc. - Common Stock,Health Care,醫療保健
MAT,"Mattel, Inc. - Common Stock",Consumer Discretionary,非必需消費
MATW,Matthews International Corporation - Class A Common Stock,Industrials,工業
MAYS,"J. W. Mays, Inc. - Common Stock",Real Estate,房地產
MAZE,"Maze Therapeutics, Inc. - Common Stock",Health Care,醫療保健
MBBC,"Marathon Bancorp, Inc. - Common Stock",Financials,金融
MBCN,Middlefield Banc Corp. - Common Stock,Financials,金融
MBIN,Merchants Bancorp - Common Stock,Financials,金融
MBIO,"Mustang Bio, Inc. - Common Stock",Health Care,醫療保健
MBLY,Mobileye Global Inc. - Class A Common Stock,Consumer Discretionary,非必需消費
MBOT,Microbot Medical Inc.  - Common Stock,Health Care,醫療保健
MBRX,"Moleculin Biotech, Inc. - Common Stock",Health Care,醫療保健
MBUU,"Malibu Boats, Inc. - Common Stock",Consumer Discretionary,非必需消費
MBWM,Mercantile Bank Corporation - Common Stock,Financials,金融
MBX,"MBX Biosciences, Inc. - Common Stock",Health Care,醫療保健
MCBS,"MetroCity Bankshares, Inc. - Common Stock",Financials,金融
MCFT,"MasterCraft Boat Holdings, Inc. - Common Stock",Consumer Discretionary,非必需消費
MCHP,Microchip Technology Incorporated - Common Stock,Information Technology,資訊科技
MCHX,"Marchex, Inc. - Class B Common Stock",Communication Services,通訊服務
MCRB,"Seres Therapeutics, Inc. - Common Stock",Health Care,醫療保健
MCRI,"Monarch Casino & Resort, Inc. - Common Stock",Consumer Discretionary,非必需消費
MCVT,"Mill City Ventures III, Ltd. - Common Stock",Financials,金融
MCW,"Mister Car Wash, Inc. - Common Stock",Consumer Discretionary,非必需消費
MDAI,"Spectral AI, Inc. - Class A Common Stock",Health Care,醫療保健
MDB,"MongoDB, Inc. - Class A Common Stock",Information Technology,資訊科技
MDCX,Medicus Pharma Ltd. - Common Stock,Health Care,醫療保健
MDGL,"Madrigal Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
MDIA,Mediaco Holding Inc. - Class A Common Stock,Communication Services,通訊服務
MDLZ,"Mondelez International, Inc. - Class A Common Stock",Consumer Staples,必需消費
MDRR,"Medalist Diversified REIT, Inc. - Common Stock",Real Estate,房地產
MDXG,"MiMedx Group, Inc - Common Stock",Health Care,醫療保健
MEDP,"Medpace Holdings, Inc. - Common Stock",Health Care,醫療保健
MEIP,"MEI Pharma, Inc. - Common Stock",Health Care,醫療保健
MELI,"MercadoLibre, Inc. - Common Stock",Consumer Discretionary,非必需消費
MEOH,Methanex Corporation - Common Stock,Materials,原物料
MERC,Mercer International Inc. - Common Stock,Materials,原物料
MESA,"Mesa Air Group, Inc. - Common Stock",Industrials,工業
META,"Meta Platforms, Inc. - Class A Common Stock",Communication Services,通訊服務
METC,"Ramaco Resources, Inc. - Class A Common Stock",Materials,原物料
METCB,"Ramaco Resources, Inc. - Class B Common Stock",Materials,原物料
MFIN,Medallion Financial Corp. - Common Stock,Financials,金融
MGEE,MGE Energy Inc. - Common Stock,Utilities,公用事業
