symbol,name,Standard_Sector,Sector_Chinese
ALAB,"Astera Labs, Inc. - Common Stock",Information Technology,資訊科技
ALBT,Avalon GloboCare Corp. - Common Stock,Real Estate,房地產
ALCO,"Alico, Inc. - Common Stock",Consumer Staples,必需消費
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",Health Care,醫療保健
ALEC,"Alector, Inc. - Common Stock",Health Care,醫療保健
ALGM,"Allegro MicroSystems, Inc. - Common Stock",Information Technology,資訊科技
ALGN,"Align Technology, Inc. - Common Stock",Health Care,醫療保健
ALGS,"Aligos Therapeutics, Inc. - Common stock",Health Care,醫療保健
ALGT,Allegiant Travel Company - Common Stock,Industrials,工業
ALHC,"Alignment Healthcare, Inc. - Common Stock",Health Care,醫療保健
ALKT,"Alkami Technology, Inc. - Common Stock",Information Technology,資訊科技
ALLK,Allakos Inc. - Common Stock,Health Care,醫療保健
ALLO,"Allogene Therapeutics, Inc. - Common Stock",Health Care,醫療保健
ALLR,"Allarity Therapeutics, Inc. - Common stock",Health Care,醫療保健
ALMS,Alumis Inc. - Common Stock,Health Care,醫療保健
ALMU,"Aeluma, Inc. - Common Stock",Information Technology,資訊科技
ALNT,Allient Inc. - Common Stock,Information Technology,資訊科技
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
ALOT,"AstroNova, Inc. - Common Stock",Information Technology,資訊科技
ALRM,"Alarm.com Holdings, Inc. - Common Stock",Information Technology,資訊科技
ALRS,Alerus Financial Corporation - Common Stock,Financials,金融
ALT,"Altimmune, Inc. - Common Stock",Health Care,醫療保健
ALTI,"AlTi Global, Inc. - Class A Common Stock",Financials,金融
ALTO,"Alto Ingredients, Inc. - Common Stock",Materials,原物料
ALTS,ALT5 Sigma Corporation - Common Stock,Information Technology,資訊科技
ALXO,ALX Oncology Holdings Inc. - Common Stock,Health Care,醫療保健
ALZN,"Alzamend Neuro, Inc. - Common Stock",Health Care,醫療保健
AMAL,Amalgamated Financial Corp. - Common Stock,Financials,金融
AMAT,"Applied Materials, Inc. - Common Stock",Information Technology,資訊科技
AMCX,AMC Networks Inc. - Class A Common Stock,Communication Services,通訊服務
AMD,"Advanced Micro Devices, Inc. - Common Stock",Information Technology,資訊科技
AMED,Amedisys Inc - Common Stock,Health Care,醫療保健
AMGN,Amgen Inc. - Common Stock,Health Care,醫療保健
AMIX,"Autonomix Medical, Inc. - Common Stock",Health Care,醫療保健
AMKR,"Amkor Technology, Inc. - Common Stock",Information Technology,資訊科技
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",Information Technology,資訊科技
AMPG,"Amplitech Group, Inc. - Common Stock",Information Technology,資訊科技
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
AMPL,"Amplitude, Inc. - Class A Common Stock",Information Technology,資訊科技
AMRK,"A-Mark Precious Metals, Inc. - Common Stock",Financials,金融
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",Health Care,醫療保健
AMSC,American Superconductor Corporation - Common Stock,Industrials,工業
AMSF,"AMERISAFE, Inc. - Common Stock",Financials,金融
AMST,Amesite Inc. - Common Stock,Information Technology,資訊科技
AMTX,"Aemetis, Inc - Common Stock",Materials,原物料
AMWD,American Woodmark Corporation - Common Stock,Consumer Discretionary,非必需消費
AMZN,"Amazon.com, Inc. - Common Stock",Consumer Discretionary,非必需消費
ANAB,"AnaptysBio, Inc. - Common Stock",Health Care,醫療保健
ANDE,"The Andersons, Inc. - Common Stock",Consumer Staples,必需消費
ANEB,"Anebulo Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
ANGI,Angi Inc. - Class A Common Stock,Communication Services,通訊服務
ANGO,"AngioDynamics, Inc. - Common Stock",Health Care,醫療保健
ANIK,Anika Therapeutics Inc. - Common Stock,Health Care,醫療保健
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
ANIX,"Anixa Biosciences, Inc. - Common Stock",Health Care,醫療保健
ANNA,"AleAnna, Inc. - Class A Common Stock",Energy,能源
ANNX,"Annexon, Inc. - common stock",Health Care,醫療保健
ANSS,"ANSYS, Inc. - Common Stock",Information Technology,資訊科技
ANTX,"AN2 Therapeutics, Inc. - Common Stock",Health Care,醫療保健
AOUT,"American Outdoor Brands, Inc. - Common Stock",Consumer Discretionary,非必需消費
APA,APA Corporation - Common Stock,Energy,能源
APCX,AppTech Payments Corp. - Common stock,Information Technology,資訊科技
APDN,"Applied DNA Sciences, Inc. - Common Stock",Health Care,醫療保健
APEI,"American Public Education, Inc. - Common Stock",Consumer Staples,必需消費
APGE,"Apogee Therapeutics, Inc. - Common Stock",Health Care,醫療保健
APLD,Applied Digital Corporation - Common Stock,Information Technology,資訊科技
APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
APLT,"Applied Therapeutics, Inc. - Common Stock",Health Care,醫療保健
APOG,"Apogee Enterprises, Inc. - Common Stock",Industrials,工業
APP,Applovin Corporation - Class A Common Stock,Communication Services,通訊服務
APPF,"AppFolio, Inc. - Class A Common Stock",Information Technology,資訊科技
APPN,Appian Corporation - Class A Common Stock,Information Technology,資訊科技
APPS,"Digital Turbine, Inc. - Common Stock",Information Technology,資訊科技
APRE,"Aprea Therapeutics, Inc. - Common Stock",Health Care,醫療保健
APVO,Aptevo Therapeutics Inc. - Common Stock,Health Care,醫療保健
APYX,Apyx Medical Corporation - Common Stock,Health Care,醫療保健
AQB,"AquaBounty Technologies, Inc. - Common Stock",Consumer Staples,必需消費
AQMS,"Aqua Metals, Inc. - Common Stock",Industrials,工業
AQST,"Aquestive Therapeutics, Inc. - Common Stock",Health Care,醫療保健
ARAY,Accuray Incorporated - Common Stock,Health Care,醫療保健
ARCB,ArcBest Corporation - Common Stock,Industrials,工業
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,Health Care,醫療保健
ARDX,"Ardelyx, Inc. - Common Stock",Health Care,醫療保健
AREB,"American Rebel Holdings, Inc. - Common Stock",Consumer Discretionary,非必需消費
AREC,American Resources Corporation - Class A Common Stock,Materials,原物料
ARHS,"Arhaus, Inc. - Class A Common Stock",Consumer Discretionary,非必需消費
ARKO,ARKO Corp. - Common Stock,Consumer Discretionary,非必需消費
ARKR,Ark Restaurants Corp. - Common Stock,Consumer Discretionary,非必需消費
AROW,Arrow Financial Corporation - Common Stock,Financials,金融
ARQ,"Arq, Inc. - Common Stock",Industrials,工業
ARQT,"Arcutis Biotherapeutics, Inc. - Common stock",Health Care,醫療保健
ARRY,"Array Technologies, Inc. - Common Stock",Information Technology,資訊科技
ARTL,"Artelo Biosciences, Inc. - Common Stock",Health Care,醫療保健
ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock,Utilities,公用事業
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",Health Care,醫療保健
ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",Industrials,工業
ARVN,"Arvinas, Inc. - Common Stock",Health Care,醫療保健
ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
ASBP,"Aspire Biopharma Holdings, Inc.  - Common Stock",Health Care,醫療保健
ASLE,AerSale Corporation - Common Stock,Industrials,工業
ASMB,"Assembly Biosciences, Inc. - Common Stock",Health Care,醫療保健
ASNS,"Actelis Networks, Inc. - Common Stock",Information Technology,資訊科技
ASO,"Academy Sports and Outdoors, Inc. - Common Stock",Consumer Discretionary,非必需消費
ASPI,ASP Isotopes Inc. - Common Stock,Materials,原物料
ASPS,Altisource Portfolio Solutions S.A. - Common Stock,Real Estate,房地產
ASRT,"Assertio Holdings, Inc. - Common Stock",Health Care,醫療保健
ASRV,AmeriServ Financial Inc. - Common Stock,Financials,金融
ASST,Asset Entities Inc. - Class B Common Stock,Communication Services,通訊服務
ASTC,Astrotech Corporation - Common Stock,Information Technology,資訊科技
ASTE,"Astec Industries, Inc. - Common Stock",Industrials,工業
ASTH,Astrana Health Inc. - Common Stock,Health Care,醫療保健
ASTI,"Ascent Solar Technologies, Inc - Common Stock",Information Technology,資訊科技
ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",Information Technology,資訊科技
ASUR,Asure Software Inc - Common Stock,Information Technology,資訊科技
ASYS,"Amtech Systems, Inc. - Common Stock",Information Technology,資訊科技
ATEC,"Alphatec Holdings, Inc. - Common Stock",Health Care,醫療保健
ATER,"Aterian, Inc. - Common Stock",Consumer Discretionary,非必需消費
ATEX,Anterix Inc. - Common Stock,Communication Services,通訊服務
ATHA,"Athira Pharma, Inc. - Common Stock",Health Care,醫療保健
ATHR,"Aether Holdings, Inc. - Common Stock",Information Technology,資訊科技
ATLC,Atlanticus Holdings Corporation - Common Stock,Financials,金融
ATLN,Atlantic International Corp. - Common Stock,Industrials,工業
ATLO,Ames National Corporation - Common Stock,Financials,金融
ATLX,Atlas Lithium Corporation - Common Stock,Materials,原物料
ATNF,180 Life Sciences Corp. - Common Stock,Health Care,醫療保健
ATNI,"ATN International, Inc. - Common Stock",Communication Services,通訊服務
ATOM,Atomera Incorporated - Common Stock,Information Technology,資訊科技
ATOS,"Atossa Therapeutics, Inc. - Common Stock",Health Care,醫療保健
ATPC,Agape ATP Corporation - Common Stock,Consumer Staples,必需消費
ATRA,"Atara Biotherapeutics, Inc. - Common Stock",Health Care,醫療保健
ATRC,"AtriCure, Inc. - Common Stock",Health Care,醫療保健
ATRO,Astronics Corporation - Common Stock,Industrials,工業
ATXG,Addentax Group Corp. - Common Stock,Industrials,工業
ATXS,"Astria Therapeutics, Inc. - Common Stock",Health Care,醫療保健
ATYR,"aTyr Pharma, Inc. - Common Stock",Health Care,醫療保健
AUBN,"Auburn National Bancorporation, Inc. - Common Stock",Financials,金融
AUID,authID Inc. - Common Stock,Information Technology,資訊科技
AUR,"Aurora Innovation, Inc.  - Class A Common Stock",Information Technology,資訊科技
AURA,"Aura Biosciences, Inc. - Common Stock",Health Care,醫療保健
AUUD,Auddia Inc. - Common Stock,Information Technology,資訊科技
AVAH,Aveanna Healthcare Holdings Inc. - Common Stock,Health Care,醫療保健
AVAV,"AeroVironment, Inc. - Common Stock",Industrials,工業
AVBP,"ArriVent BioPharma, Inc. - Common Stock",Health Care,醫療保健
AVDX,"AvidXchange Holdings, Inc. - Common Stock",Information Technology,資訊科技
AVGO,Broadcom Inc. - Common Stock,Information Technology,資訊科技
AVIR,"Atea Pharmaceuticals, Inc. - common stock",Health Care,醫療保健
